algorithm_name,n,prev_states,time
forward_checking,10,15,0.00021410000044852495
backtracking,10,55,0.000434300018241629
forward_checking,10,15,0.00021840000408701599
backtracking,10,55,0.00043620000360533595
forward_checking,10,15,0.00021389999892562628
backtracking,10,55,0.00043390001519583166
forward_checking,10,15,0.00023479998344555497
backtracking,10,55,0.0004354999982751906
forward_checking,10,15,0.0002114000089932233
backtracking,10,55,0.00043569999979808927
forward_checking,10,15,0.00021660001948475838
backtracking,10,55,0.0004358000005595386
forward_checking,10,15,0.00021749999723397195
backtracking,10,55,0.0004383999912533909
forward_checking,10,15,0.00022460002219304442
backtracking,10,55,0.00043990000267513096
forward_checking,10,15,0.00021040000137872994
backtracking,10,55,0.0004464999947231263
forward_checking,10,15,0.00021189998369663954
backtracking,10,55,0.0004391999973449856
forward_checking,10,15,0.0002077000099234283
backtracking,10,55,0.00043879999429918826
forward_checking,10,15,0.00020520001999102533
backtracking,10,55,0.0004403000057209283
forward_checking,10,15,0.0002035000070463866
backtracking,10,55,0.0004400000034365803
forward_checking,10,15,0.00020730000687763095
backtracking,10,55,0.00044010000419802964
forward_checking,10,15,0.00020650000078603625
backtracking,10,55,0.00045209997915662825
forward_checking,10,15,0.00020440001389943063
backtracking,10,55,0.0004413000133354217
forward_checking,10,15,0.00020429998403415084
backtracking,10,55,0.00043899999582208693
forward_checking,10,15,0.00020199999562464654
backtracking,10,55,0.0004398000019136816
forward_checking,10,15,0.00020330000552348793
backtracking,10,55,0.0004926999972667545
forward_checking,10,15,0.00021399999968707561
backtracking,10,55,0.00043960000039078295
forward_checking,10,15,0.00021100000594742596
backtracking,10,55,0.0004822999762836844
forward_checking,10,15,0.00025340000865980983
backtracking,10,55,0.0006735000060871243
forward_checking,10,15,0.0002447999722789973
backtracking,10,55,0.0004413000133354217
forward_checking,10,15,0.00021590001415461302
backtracking,10,55,0.000440800009528175
forward_checking,10,15,0.00020979999681003392
backtracking,10,55,0.0004420999903231859
forward_checking,10,15,0.0002057999954558909
backtracking,10,55,0.00043220000225119293
forward_checking,10,15,0.0002023999986704439
